Number,Title,Authors,Date of Issue,JEL
2018-044,Understanding Cryptocurrencies,"Wolfgang Karl H?rdle,?Campbell R. Harvey, Raphael C. G. Reule",06.09.2018,"C01, C58, E42, E51, G10, K24, K42, L86, O31"
2018-043,Textual Sentiment and Sector specific reaction,"Elisabeth Bommes, Cathy Yi-Hsuan Chen and Wolfgang Karl H?rdle",03.09.2018,"C81, G14, G17"
2018-042,On Complete Convergence in Marcinkiewicz-Zygmund Type SLLN for END Random Variables and its Applications,Ji Gao YAN,27.08.2018,C00
2018-041,On complete convergence in Marcinkiewicz-Zygmund type SLLN for random variables,"Anna Kuczmaszewska, Ji Gao YAN",27.08.2018,C00
2018-040,Complete Convergence and Complete Moment Convergence for Maximal Weighted Sums of Extended Negatively Dependent Random Variables,Ji Gao YAN,27.08.2018,C00
2018-039,Penalized Adaptive Forecasting with Large,"Lenka Zbonakova, Xinjue Li and Wolfgang Karl",23.08.2018,"C12, C13, C50, E47, G12"
,Information Sets and Structural Changes,H?rdle,,
2018-038,Tail-Risk Protection,"Natalie Packham, Jochen",02.08.2018,"C15, G11, G17"
,Trading Strategies,"Papenbrock, Peter Schwendner, Fabian Woebbeking",,
2018-037,Default probabilities and default correlations under stress,"Natalie Packham, Michael Kalkbrener, Ludger Overbeck",02.08.2018,C00
2018-036,Model risk of contingent claims,"Nils Detering, Natalie Packham",02.08.2018,"G32, G13"
2018-035,Correlation Under Stress In Normal Variance Mixture Models,"Michael Kalkbrener, Natalie Packham",02.08.2018,C00
2018-034,A factor-model approach for correlation scenarios and correlation stress-testing,"Natalie Packham,?Fabian Woebbeking",01.08.2018,"C58, G15, G17, G18"
2018-033,Optimal contracts under competition when uncertainty from adverse selection and moral hazard are present,Natalie Packham,01.08.2018,C00
2018-032,Understanding Latent Group Structure of Cryptocurrencies Market: A Dynamic Network Perspective,"Li Guo,?Yubo Tao,?Wolfgang Karl H?rdle?",23.07.2018,C00
2018-031,Instrumental,"Andzhey Koziuk, Vladimir Spokoiny",27.06.2018,C00
,variables regression,,,
2018-030,Gaussian Process Forecast,"Francois Bachoc, Alexandra Suvorikova, Jean-Michel Loubes, Vladimir Spokoiny",27.06.2018,C00
,with multidimensional,,,
,distributional entries,,,
2018-029,Pointwise adaptation,"Nikita Puchkin, Vladimir Spokoiny",27.06.2018,C00
,via stagewise aggregation,,,
,of local estimates for,,,
,multiclass classification,,,
2018-028,Toolbox:,"Andzhey Koziuk, Vladimir Spokoiny",27.06.2018,C00
,Gaussian comparison,,,
,on Eucledian balls,,,
2018-027,Bayesian inference,"Igor Silin, Vladimir Spokoiny",27.06.2018,C00
,for spectral projectors,,,
,of covariance matrix,,,
2018-026,"Large ball probabilities,","Friedrich G?tze, Alexey Naumov, Vladimir Spokoiny, Vladimir Ulyanov",27.06.2018,C00
,Gaussian comparison,,,
,and anti-concentration,,,
2018-025,Construction of,"Johannes Ebert, Vladimir Spokoiny, Alexandra Suvorikova",27.06.2018,C00
,Non-asymptotic Confidence,,,
,Sets in 2 -Wasserstein Space,,,
2018-024,Bootstrap Confidence Sets,"A. Naumov, Vladimir Spokoiny, Vladimir Ulyanov",27.06.2018,C00
,for Spectral Projectors,,,
,of Sample Covariance,,,
2018-023,"Textual Sentiment, Option Characteristics, and Stock Return Predictability","Cathy Yi-Hsuan Chen, Matthias R. Fengler, Wolfgang Karl H?rdle, Yanchu Liu",18.06.2018,"C58, G12, G14, G41"
2018-022,Learning from Errors: The case of monetary and fiscal policy regimes,Andreas Tryphonides,14.06.2018,"?C11, C13, E62, E63"
2018-021,LASSO-Driven Inference in Time and Space,"Victor Chernozhukov, Wolfgang K. H?rdle, Chen Huang, Weining Wang",11.06.2018,"C12, C22, C51, C53"
2018-020,A Regime Shift Model with Nonparametric Switching Mechanism,"Haiqiang Chen, Yingxing Li, Ming Lin, Yanli Zhu",31.05.2018,C00
